2022-11-10 22:31:01,377 [main] INFO  marytts.main Mary starting up...
2022-11-10 22:31:01,407 [main] INFO  marytts.main Specification version 5.2
2022-11-10 22:31:01,407 [main] INFO  marytts.main Implementation version unknown
2022-11-10 22:31:01,407 [main] INFO  marytts.main Running on a Java 17.0.1 implementation by Eclipse Adoptium, on a Windows 10 platform (amd64, 10.0)
2022-11-10 22:31:02,552 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2022-11-10 22:31:02,570 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2022-11-10 22:31:02,571 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2022-11-10 22:31:02,578 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2022-11-10 22:31:02,580 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2022-11-10 22:31:02,582 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2022-11-10 22:31:02,584 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2022-11-10 22:31:02,586 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2022-11-10 22:31:02,587 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2022-11-10 22:31:02,593 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2022-11-10 22:31:02,596 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2022-11-10 22:31:02,599 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2022-11-10 22:31:02,600 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2022-11-10 22:31:02,604 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2022-11-10 22:31:02,606 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2022-11-10 22:31:02,608 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2022-11-10 22:31:02,612 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2022-11-10 22:31:02,615 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2022-11-10 22:31:02,616 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2022-11-10 22:31:03,042 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2022-11-10 22:31:03,045 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2022-11-10 22:31:03,196 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2022-11-10 22:31:03,197 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2022-11-10 22:31:03,300 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
